id,work_item_id,status,layer,red_artifact,red_command,red_result,green_command,green_result,commit,notes
TDD-001,W-005,complete,contract,"Missing core/contracts/public.ts","node --test tests/contract/shared-types.contract.test.ts | npm run typecheck",expected-fail,"node --test tests/contract/shared-types.contract.test.ts | npm run typecheck | npm test",pass,,Exact type-only contract implemented after failing fixtures
TDD-002,W-007,complete,catalog-contract,"Missing modules/catalog public and validator files","node --test tests/contract/catalog-snapshot.contract.test.ts | npm run typecheck",expected-fail,"node --test tests/contract/catalog-snapshot.contract.test.ts | npm run typecheck | npm test",pass,,Strict validator implemented after every declared failure path was specified
TDD-003,W-009,complete,chrome-html-contract,"Missing adapters/chrome-html/public.ts","node --test tests/contract/chrome-html.contract.test.ts | npm run typecheck",expected-fail,"node --test tests/contract/chrome-html.contract.test.ts | npm run typecheck | npm test",pass,,Type-only adapter boundary implemented after exact parity tests failed
TDD-004,W-010,complete,chrome-html-adapter,"Missing private parser module","node --test tests/integration/chrome-html-import.test.ts",expected-fail,"node --test tests/integration/chrome-html-import.test.ts | npm test | npm run typecheck",pass,,Delegated Luna red-green implementation against fixed parser contract
TDD-005,W-012,complete,catalog-persistence-types,"Approved storage and port types absent from modules/catalog/public.ts","npm run typecheck",expected-fail,"npm run typecheck | node --test tests/contract/catalog-snapshot.contract.test.ts | npm test",pass,,Exact public type migration followed failing parity assertions
TDD-006,W-013,complete,catalog-service,"Missing private createBookmarkCatalog factory","node --test tests/integration/catalog-service.test.ts",expected-fail,"node --test tests/integration/catalog-service.test.ts | npm test | npm run typecheck",pass,,Delegated Luna service implemented after focused import failure
TDD-007,W-014,complete,catalog-id-factory,"Missing private crypto ID factory","node --test tests/unit/catalog-id-factory.test.ts",expected-fail,"node --test tests/unit/catalog-id-factory.test.ts | npm test | npm run typecheck",pass,,Fresh Luna retry completed standard-library implementation after first agent runtime stalled
TDD-008,W-016,complete,sqlite-catalog-store,"Missing migration and store modules","node --test tests/integration/catalog-sqlite.test.ts",expected-fail,"node --test tests/integration/catalog-sqlite.test.ts | npm test | npm run typecheck",pass,,Delegated implementation followed ADR 0005 and fixed typed store contract
TDD-009,W-017,complete,import-benchmark,"Missing deterministic generator and performance test","node --test tests/performance/import-10k.test.ts",expected-fail,"node --test tests/performance/import-10k.test.ts twice | npm test | npm run typecheck",pass,,Generated end-to-end integrity benchmark completed without production changes
TDD-010,W-019,complete,shared-jobs-identifiers,"Approved shared Jobs identity exports absent","npm run typecheck",expected-fail,"npm run typecheck | node --test tests/contract/shared-types.contract.test.ts | npm test",pass,,Four exact additive brands followed failing parity and negative assignment tests
TDD-011,W-020,complete,jobs-public-contract,"Missing modules/jobs/public.ts","node --test tests/contract/jobs.contract.test.ts | npm run typecheck",expected-fail,"node --test tests/contract/jobs.contract.test.ts | npm run typecheck | npm test",pass,,Exact type-only Jobs surface followed failing runtime and parity tests
TDD-012,W-021,complete,jobs-service,"Missing private createJobQueue factory","node --test tests/integration/job-queue-service.test.ts",expected-fail,"node --test Jobs service and transition tests | npm test | npm run typecheck",pass,,Luna implementation accepted after future scheduling fix and test decomposition
TDD-013,W-023,complete,jobs-sqlite-enqueue,"Missing Jobs migration and enqueue modules","node --test tests/integration/jobs-schema.test.ts tests/integration/jobs-sqlite-enqueue.test.ts",expected-fail,"focused Jobs SQLite tests | npm test | npm run typecheck",pass,,Luna implementation followed ADR 0007 after strict sparse-array review
TDD-014,W-024,complete,jobs-sqlite-lease,"Missing private lease module","node --test Jobs SQLite lease and recovery tests",expected-fail,"focused lease/recovery tests | npm test | npm run typecheck",pass,,Atomic recovery and deterministic lease selection implemented after failing tests
TDD-015,W-025,complete,jobs-sqlite-transitions,"Missing private transition module","node --test Jobs SQLite transition and control tests",expected-fail,"focused transition/control tests | npm test | npm run typecheck",pass,,Atomic lease transitions and batch controls completed after review-driven test split and active-cancel case
TDD-016,W-026,complete,jobs-sqlite-progress-facade,"Missing progress and facade modules","node --test Jobs SQLite progress and facade tests",expected-fail,"npm run test:jobs-sqlite-progress | npm test | npm run typecheck",pass,,Atomic recovered progress and full store composition implemented after failing imports
TDD-017,W-028,complete,jobs-worker-contract,"Missing worker and handler public types","npm run typecheck",expected-fail,"npm run typecheck | node --test tests/contract/jobs.contract.test.ts | npm test",pass,,Exact architecture-owned worker types added with closed negative assignments and no runtime exports
TDD-018,W-029,complete,jobs-worker-service,"Missing one-step worker factory","npm run test:jobs-worker",expected-fail,"npm run test:jobs-worker | npm test | npm run typecheck",pass,,Validated registry and bounded operation-specific routing implemented after failing imports
TDD-019,W-030,complete,jobs-worker-resume,"Missing durable interruption/reopen trace","npm run test:jobs-worker-resume",expected-fail,"npm run test:jobs-worker-resume | npm test | npm run typecheck",pass,,Two-job result-before-success restart trace completed without production changes
TDD-020,W-031,complete,health-transport-fixtures,"Missing loopback Health transport fixture","npm run test:health-transport",expected-fail,"npm run test:health-transport | npm test | npm run typecheck",pass,,HTTP redirect abort connection and malformed response facts captured without Health classification
TDD-021,W-033,complete,health-public-contract,"Missing modules/health/public.ts","npm run typecheck",expected-fail,"npm run typecheck | npm run test:health-contract | npm test",pass,,Exact Health type surface added with closed negative assignments and zero runtime exports
TDD-022,W-034,complete,health-fact-classification,"Missing pure Health classifier modules","npm run test:health-classification",expected-fail,"npm run test:health-classification | npm test | npm run typecheck",pass,,Every typed HTTP transport and redirect branch implemented after failing imports
TDD-023,W-036,complete,health-ownership-types,"Missing HealthChecker and StalenessPolicy interfaces","npm run typecheck",expected-fail,"npm run typecheck | npm run test:health-contract | npm test",pass,,Observation execution and history policy now migrate independently with composed HealthService parity
TDD-024,W-064,complete,local-cli-inspect,"Missing inspect module package script and command dispatch","node --test tests/integration/local-cli-inspect.test.ts | npm run typecheck",expected-fail,"node --test local CLI import and inspect tests | npm test | npm run typecheck",pass,,Folder-only inspection passed nested count privacy lifecycle and typed failure coverage
TDD-025,W-066,complete,processing-planner,"Missing Processing public and planner modules","node --test tests/integration/processing-planner.test.ts | npm run typecheck",expected-fail,"node --test tests/integration/processing-planner.test.ts | npm run typecheck",pass,,Selected-folder scope and fixed health budget passed without reading bookmark content
TDD-026,W-067,complete,local-cli-preview,"Missing preview module package script and command dispatch","node --test tests/integration/local-cli-preview.test.ts | npm run typecheck",expected-fail,"node --test Processing and all local CLI tests | npm test | npm run typecheck",pass,,Persisted preview command passed exact output privacy and typed failure coverage
TDD-027,W-068,complete,catalog-bookmark-lookup,"Missing Catalog getBookmark and store loadBookmark contracts and implementations","npm run typecheck",expected-fail,"node --test Catalog contract service and SQLite tests | npm run typecheck",pass,,Exact contract service and persisted-row lookup evidence passed
TDD-028,W-068,complete,health-checker-contract,"Missing modules/health/public.ts","npm run typecheck",expected-fail,"node --test tests/contract/health.contract.test.ts | npm run typecheck",pass,,Closed failure codes correlated dispositions and empty type-only runtime surface passed before H3
TDD-029,W-068,complete,health-job-handler,"Missing handler factory runtime and public declarations","node --test tests/contract/health.contract.test.ts tests/integration/health-check-job-handler.test.ts | npm run typecheck",expected-fail,"node --test tests/contract/health.contract.test.ts tests/integration/health-check-job-handler.test.ts | npm run typecheck",pass,,Catalog mapping checker forwarding interruption and production worker routing passed
TDD-030,W-069,complete,health-observation-contract,"Missing immutable observation repository and supporting Health types","npm run typecheck",expected-fail,"node --test tests/contract/health.contract.test.ts tests/integration/health-check-job-handler.test.ts | npm run typecheck",pass,,Exact contracts and unchanged handler runtime export passed
TDD-031,W-070,complete,health-sqlite-reader,"Missing Health migration reconstruction and indexed reader modules","node --test tests/integration/health-sqlite-read.test.ts",expected-fail,"node --test tests/integration/health-sqlite-read.test.ts | npm run typecheck",pass,,Schema coexistence exact read corruption reopen and closed-storage evidence passed
TDD-032,W-071,complete,health-sqlite-writer,"Missing SQLite Health observation store factory","node --test tests/integration/health-sqlite-write.test.ts",expected-fail,"node --test tests/integration/health-sqlite-read.test.ts tests/integration/health-sqlite-write.test.ts | npm run typecheck",pass,,Insert replay input conflict ID collision rollback reopen and closed-storage evidence passed
TDD-033,W-072,complete,health-execution-contract,"Missing bounded checker ports factory declaration and dependency failures","npm run typecheck",expected-fail,"npm run typecheck | node --test tests/contract/health.contract.test.ts tests/integration/health-check-job-handler.test.ts | npm test",pass,,Exact execution ports fixed redirect budget closed dispositions and unchanged runtime export passed
TDD-034,W-073,complete,health-fact-classifier,"Missing pure typed Health classifier module","node --test tests/unit/health-fact-classifier.test.ts",expected-fail,"node --test tests/unit/health-fact-classifier.test.ts | npm run typecheck",pass,,Exhaustive HTTP redirect and transport mappings passed without page or prose inference
TDD-035,W-074,complete,health-checker,"Missing checker runtime export and deterministic implementation","node --test tests/contract/health.contract.test.ts tests/integration/health-checker.test.ts",expected-fail,"node --test focused Health checker classifier handler and SQLite tests | npm run typecheck | npm test",pass,,Validated idempotent six-request checker committed and replayed exact SQLite observations
TDD-036,W-075,complete,health-node-evidence,"Missing controlled listener fixture helper","node --test tests/integration/health-node-evidence.test.ts",expected-fail,"node --test tests/integration/health-node-evidence.test.ts | npm run typecheck",pass,,Loopback fixtures established structured Node response timeout DNS TLS connection parser Host body-cap and cleanup evidence
TDD-037,W-076,complete,health-target-resolver,"Missing safe request-target resolver module","node --test tests/unit/health-request-target-resolver.test.ts",expected-fail,"node --test tests/unit/health-request-target-resolver.test.ts | npm run typecheck",pass,,URL full-answer SSRF range deterministic pinning and narrow loopback checks passed
TDD-038,W-077,complete,health-node-transport,"Missing safe one-request Node Health transport module","node --test tests/integration/health-node-transport.test.ts",expected-fail,"node --test C7-C9 evidence transport and resolver tests | npm run typecheck | npm test",pass,,Pinned Host manual redirect cap timeout connection parser TLS and resolver rejection behavior passed
TDD-039,W-079,complete,sqlite-application-session,"Missing multi-module SQLite types runtime export and opener","npm run typecheck | node --test tests/integration/bookmark-clean-database.test.ts",expected-fail,"node --test application and Catalog database tests | npm run typecheck | npm test",pass,,One shared session migrated and reopened real Catalog Jobs and Health persistence ports
TDD-040,W-080,complete,node-runtime-ports,"Missing public Node runtime module and five-port factory","npm run typecheck | node --test tests/integration/node-runtime-ports.test.ts",expected-fail,"node --test Node runtime resolver and transport tests | npm run typecheck",pass,,Zero-argument public factory supplied canonical clock cryptographic IDs exact SHA-256 and default safe transport
