id,wave,status,owner,branch,worktree,scope,description,next_action,created_at,updated_at
W-001,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-1,Bootstrap TypeScript verification shell,Polish and execute Slice 2 SQLite capability probe,2026-07-13,2026-07-13
W-002,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-2,Prove built-in SQLite capabilities,Polish and execute Slice 3 LM Studio protocol probe,2026-07-13,2026-07-13
W-003,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-3,Probe live LM Studio protocol,Audit first batch and refresh the active queue,2026-07-13,2026-07-13
W-004,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-4,Characterize Chrome HTML import inputs,Polish and execute Slice 5 shared value contracts,2026-07-13,2026-07-13
W-005,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-5,Implement shared value contracts,Run Slice 6 catalog architecture contract gate,2026-07-13,2026-07-13
W-006,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-6,Complete catalog import contract,Audit Slices 4-6 and refresh contract-dependent queue,2026-07-13,2026-07-13
W-007,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-7,Implement catalog types and strict input validation,Run Slice 8 HTML parser dependency gate,2026-07-13,2026-07-13
W-008,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-8,Select Chrome HTML parser dependency,Define Chrome HTML adapter public contract,2026-07-13,2026-07-13
W-009,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-9,Define Chrome HTML adapter public contract,Refresh and polish the Chrome HTML parser implementation slice,2026-07-13,2026-07-13
W-010,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-10,Parse Chrome HTML into Catalog input,Refresh persistence queue around typed storage failures and missing Catalog service,2026-07-13,2026-07-13
W-011,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-11,Resolve Catalog persistence failures and ports,Implement exact executable Catalog contract types,2026-07-13,2026-07-13
W-012,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-12,Implement executable Catalog persistence contracts,Polish and delegate Catalog service implementation,2026-07-13,2026-07-13
W-013,foundation,done,orchestrator,main,/Users/mike/Developer/repos/bookmark-clean,slice-13,Implement Catalog import service,Audit Slices 11 through 13 and refresh SQLite packet,2026-07-13,2026-07-13
